"Gene_name"	"replicate1_timepoint1"	"replicate1_timepoint2"	"replicate1_timepoint3"	"replicate1_timepoint4"	"replicate2_timepoint1"	"replicate2_timepoint2"	"replicate2_timepoint3"	"replicate2_timepoint4"	"replicate3_timepoint1"	"replicate3_timepoint2"	"replicate3_timepoint3"	"replicate3_timepoint4"
VNG1804G	3700.376908	3217.807128	1263.661699	841.1453485	4153.478057	3117.252106	1417.047902	835.9567216	4071.823581	3640.449657	1314.296932	849.825992
VNG1806H	528.5920508	782.5535796	3472.819014	28099.69746	647.6805381	991.0730202	3292.483492	26397.91575	631.4681032	831.7509921	4756.330353	28873.67246
VNG1807H	437.4314331	238.0134641	304.1131977	1108.878329	399.3755312	279.6077748	234.0524852	1021.494359	364.7610782	268.5180368	294.8888525	1034.354907
VNG1809H	341.1546584	236.4716764	135.6981633	407.4447507	319.1708165	215.2037368	197.1938261	364.2583977	312.3279634	217.8270708	201.8854452	420.0860064
VNG1811G	55.11496526	92.98906591	493.3879821	106.9398734	67.56972535	119.5039279	113.5916857	142.4134745	73.0760734	134.6519716	183.9652764	196.9411744
VNG1814G	1495.08064	6542.672133	933.4189194	496.1780149	1577.588283	6410.799693	1707.89623	542.3863856	698.7641482	6423.999316	1210.858996	471.3900098
VNG1815G	1199.738843	3507.374115	636.5517402	184.749172	1359.497381	3485.188871	728.1260562	206.1364651	571.1906641	4454.38677	432.3524253	195.0103786
VNG1816G	98.48602442	169.7893618	70.26442113	13.60704483	108.22143	197.4412722	40.20944627	14.81930015	62.7545941	188.6175478	48.77007945	28.41028146
VNG1818G	660.1005438	672.4121264	263.4915792	107.1315219	675.285243	663.3736748	292.0211035	109.2182421	598.8522286	671.0331232	245.2114227	113.6411258
VNG1818a	79.64926414	58.68429134	68.94696323	65.16049635	77.04596732	53.40822664	81.25658934	83.28446686	77.61752429	63.9203912	71.22699976	63.16460635
VNG1820H	147.9034511	127.5829257	94.63739221	154.8520031	131.2940192	101.0164649	214.6179195	125.8158583	121.1741669	97.05944648	207.3295471	122.1917931
VNG1821G	74.99821222	114.2850074	310.2613345	242.2437276	71.00314636	107.783118	510.827507	280.8257379	64.81888996	90.64121048	455.0361832	195.2862065
VNG1822G	48.13838738	49.04811871	65.21416586	66.50203598	47.65588353	49.29990151	99.68591888	86.54471289	41.49234676	46.10651169	91.1887067	75.02520929
VNG1823C	137.2060317	140.2063118	240.2164897	163.0928894	139.3968928	152.2496959	266.7226603	202.1352541	143.055703	142.1180829	254.738601	199.1477982
VNG1826H	34.30150791	43.26641513	37.76712636	57.68620412	34.74622056	36.12909449	73.88485752	60.01816562	33.02873374	31.04330474	58.07042018	61.78546647
VNG1827H	326.8526737	228.0882062	114.618837	95.63261082	278.2444381	198.2871039	123.4765079	113.6640322	280.124948	208.6581623	113.1919518	115.8477496
VNG1829G	833.3522279	957.7391981	457.8166189	786.5255207	851.9004194	827.948346	660.440155	847.3675827	845.9484429	704.8271005	607.2441986	745.0113613
VNG1830G	3003.64933	3078.275348	1819.848507	2577.864225	3230.986501	2894.435885	1807.582149	2250.9035	3130.917529	2686.883165	1833.754987	2508.655436
VNG1831H	56.27772824	82.48563774	197.8382607	50.78685745	68.53108323	81.56233706	90.47125411	45.49525147	66.47032665	127.8407824	128.163232	70.61196168
VNG1832H	3.837117835	3.661745601	17.34652897	3.066376299	6.592168327	5.920821505	5.026180784	4.742176049	5.98645799	8.77595535	6.351452208	10.48146306
VNG1833C	18.60420768	14.2615355	38.86500794	34.8800304	21.14987338	18.60829616	21.94765609	45.79163747	20.02366983	16.37305103	17.23965599	41.65002427
VNG1834G	70.81226549	81.42565875	114.3992607	257.0006636	62.21358859	90.14148659	142.9110736	222.1413093	57.59385446	66.93303259	144.0418626	166.0484411
VNG1835G	3883.860906	2852.210738	1272.005599	1259.705713	4020.948006	2827.011019	1422.91178	1072.472752	3691.580284	2621.65293	1148.478662	1257.775567
VNG1836G	15789.15851	13562.33481	2366.154382	1083.580725	15043.74013	10677.8995	2757.027699	807.5036653	14466.79181	12761.28695	2482.283625	968.7078493
VNG1837G	82.0910664	106.3833459	258.441324	179.3830135	90.36764082	106.5747871	219.3090215	202.1352541	90.41615861	93.65385186	239.7673208	178.4607
VNG1838H	6.395196391	12.71974788	86.51306852	611.3587746	8.514884089	15.46663577	69.8639129	500.1513801	7.637894677	11.39564351	141.092974	561.5857578
VNG1839H	109.0671675	136.7372897	345.3935451	234.5777869	121.8177772	155.7538555	294.1991152	242.7401365	99.91191956	125.4830631	334.3585912	229.4888755
VNG1842H	87.09094721	82.77472292	295.988874	470.3054648	88.5822619	104.7622907	142.5759949	447.8392506	88.35186275	82.12722394	157.8789549	441.3247605
VNG1843C	309.7600579	209.9722017	127.5738396	196.8230287	282.639217	174.724651	137.7173535	168.1990567	272.4870533	227.519917	157.1984421	173.4957965
VNG1844G	931.6056997	741.5034842	435.2002584	360.6825122	876.346377	734.0610336	573.4872275	326.0246033	799.9146452	705.2200538	436.6623393	305.8932246
VNG1845C	560.4517564	490.5775488	278.8619214	244.5435098	549.2100238	500.4906668	474.6390054	275.9353688	567.4749315	473.1156824	338.6685052	239.9703385
