"transcript_id"	"WTCMA"	"WTCMB"	"WTCMC"	"WTCM_1"	"WTCM_2"	"WTCM_3"	"WTMA"	"WTMC"	"WTM_1"	"WTM_2"	"WTM_3"	"KOCMA"	"KOCMB"	"KOCMC"	"KOCM_1"	"KOCM_2"	"KOCM_3"	"KOMA"	"KOMB"	"KOM_1"	"KOM_2"
"VNG_RS00010"	4458.48697342432	4529.02634204898	6490.004883159	4379.69511637379	5679.71225372643	4101.40313189478	6138.47774451489	6692.04559195995	6597.1561055984	5435.45267264347	4915.05267487294	5791.69175641765	5053.44286922502	5228.23885979179	5657.91541492247	6242.79464952913	6353.7185302034	5475.81176436367	5945.68536366634	5681.6093518369	5635.4126731808
"VNG_RS00015"	1807.42374287103	1570.95067496505	2648.38992371543	1838.31939753058	2192.16964178915	1335.913760509	2269.38052692534	2409.46761140268	2622.6517909926	2095.932907189	1622.85088318889	2154.96942105026	2025.68123748909	2028.40540510497	2671.61499728462	2546.70656115335	2636.9187575943	1834.87727542712	2177.12488187093	2138.33121358621	2110.51729525006
"VNG_RS00020"	2190.83655283713	1779.65185159084	2985.60569468208	2518.32469191493	3162.1742049927	2173.94084274711	2801.11552684394	3100.38405896412	3818.18732044067	2948.27895611252	2372.93206062929	2535.31499951327	2326.41571704004	2424.32847646623	3272.08615653008	3430.84619747829	3475.08221982963	2185.80391171916	2861.85200158093	2799.42405322606	2917.15479552888
"VNG_RS00025"	4821.54739108058	3755.77794218696	4439.24471945233	4653.42606114715	5277.06885013251	3488.49312861082	3553.92338127416	3450.90225672832	4644.64105810997	3688.84191665263	2957.40160947889	4136.43939779528	3992.31919183698	4410.7137442805	5038.17780136967	4003.61491840184	4382.30784000195	2968.18382789682	2858.43690372701	3636.50917973836	2812.18142220493
"VNG_RS00035"	1490.97686889216	1385.0168994257	1435.32866616573	1403.23126425923	1474.32559396766	1293.19081121843	1470.16670886586	1252.11356209204	1713.69741751393	1235.20312663672	1535.57391261404	1522.3488845724	1622.31077042166	1770.21500597433	1489.93913310104	1276.23634460817	1236.84046487161	1379.40727727675	1366.03914156608	1119.27105957124	1187.85659287634
"VNG_RS00040"	1190.943214518	952.436278783155	1151.00948672326	916.278320399253	843.92430551252	775.585848659589	1163.37172709464	1057.07456491091	756.97951804036	609.217831689602	824.123525428081	1254.60879503173	1300.60764825981	1355.61631803942	873.412595266125	657.338599180715	916.643187163732	1068.0375887149	944.274556607549	716.43319046943	823.212243435234
"VNG_RS00045"	2179.67556350593	1592.45322043558	1696.75989735254	2382.89990871127	2135.23017057385	1533.09660338855	1833.6800906284	1815.15066716208	1923.56745597636	1646.00597644576	1968.73953296708	1851.94950021633	1364.06538247699	1345.81161933826	1949.12296075933	1424.23363155822	1921.18366624727	1726.37821879577	1563.26104262968	2090.46928854441	1834.27157597649
"VNG_RS00055"	116.862123585559	103.296541966301	113.422499133578	100.848242811239	89.4763119097612	77.229946794493	88.3002363501196	101.199479669452	65.1320809021342	64.2752758204626	76.5461955041707	134.836615490698	113.672115206416	104.81689801958	105.965498690376	78.8037501941793	62.7837799427214	131.103026762887	138.311463083565	63.3173383365467	49.7242294692423
"VNG_RS00060"	185.797645925354	191.414816541635	234.982935424723	204.577863988513	134.214467864642	180.75093930626	208.82683633167	298.998462659745	144.737957560298	215.18244513807	240.36936158319	263.390521299034	160.023851504177	116.489158378108	192.66454307341	211.42469564292	282.527009742246	208.23907483674	280.038024021045	213.88297753054	342.544691899225
"VNG_RS00065"	26.2611513675413	20.2376898546222	21.3620850386111	8.64413509810616	18.301972890633	14.7887132159667	23.8475090872586	23.9198770127796	13.0264161804268	13.9728860479266	30.0461701978988	15.4651315258148	11.5879340744404	6.76991100794615	16.0553785894508	1.92204268766291	12.5567559885443	13.2798324522752	18.7830381965335	12.4640429796352	16.5747431564141
"VNG_RS00070"	11.160989331205	10.540463465949	5.08621072347884	8.64413509810616	14.2348678038256	9.85914214397783	6.44527272628611	5.51997161833375	4.34213872680895	13.9728860479266	17.8846251177969	6.76599504254398	6.62167661396596	4.43545893624058	16.0553785894508	21.142469564292	6.27837799427213	3.39059551972983	12.806616952182	6.48130234941029	11.0498287709427
"VNG_RS00075"	10.5044605470165	10.1188449273111	15.2586321704365	14.4068918301769	10.1677627170183	13.1455228586371	21.9139272693728	13.7999290458344	8.6842774536179	8.38373162875599	21.4615501413563	14.9818461656331	10.4843213054461	4.20201372907002	16.0553785894508	7.68817075065163	15.6959449856803	13.5623820789193	9.39151909826677	17.4496601714892	27.6245719273568
"VNG_RS00080"	5.25223027350825	3.79456684774165	3.56034750643519	0	6.10065763021099	0	9.66790908942916	2.75998580916687	7.23689787801491	11.1783088383413	5.36538753533907	4.34956824163542	7.17348299846313	2.80134248604668	0	5.76612806298873	12.5567559885443	2.54294663979737	2.56132339043639	1.49568515755622	5.52491438547137
"VNG_RS00085"	24.9480937991642	34.5727201683129	23.9051904003506	31.6951620263893	8.13421017361465	36.150187861252	25.7810909051444	41.3997871375031	24.6054527852507	19.5620404670973	47.5731028133397	19.8146997674502	19.8650298418979	17.2749453306212	28.8996814610115	28.8306403149436	25.1135119770885	37.8616499703164	42.6887231739398	35.3978820621639	33.1494863128282
"VNG_RS00090"	13.7871044679592	12.2269376205009	24.4138114726984	23.0510269282831	14.2348678038256	26.2910457172742	25.7810909051444	9.19995269722292	11.5790366048239	19.5620404670973	30.7615552026107	17.8815583267234	16.0023851504177	8.6374726653106	22.4775300252312	17.2983841889662	34.5310789684967	17.5180768519374	18.7830381965335	22.9338390825287	77.3488013965992
