"ID"	"Pexp"	"PS"	"C"	"Sexp"	"Sstat"	"baseMean"	"baseMeanA_Pexp"	"baseMeanB_PS"	"foldChange"	"log2FoldChange"	"pval"	"padj"
TK0040	199.5	393.4047619	381.4791667	49.83333333	3	214.4616276	246.8859202	182.0373351	0.737333806	-0.439610191	0.794214977	1
TK0041	59	113.8333333	193.3333333	20.5	1	62.8180348	72.83134645	52.80472316	0.725027419	-0.463892538	0.793397306	1
TK0042	90.5	186.2833333	492.5833333	46.25	5.5	98.62686935	111.0986641	86.15507462	0.775482544	-0.366833789	0.82687846	1
TK0043	73.5	106.8333333	191.1666667	17.5	1	70.45505917	91.34779046	49.56232788	0.542567342	-0.882125883	0.636867996	1
TK0044	313.25	336.5	691.341342	44.44285714	5	271.0057193	386.376465	155.6349735	0.402806557	-1.311840927	0.48585998	1
TK0045	147.5	145.25	389	28	4	124.9297416	182.6955809	67.16390226	0.367627405	-1.443683779	0.450060468	1
TK0046	99	182.25	158.5	89	4	103.2554039	122.2085305	84.30227732	0.689823182	-0.535701483	0.760862794	1
TK0047	62.25	104.5	432.8333333	46.5	2.25	62.35368257	76.53463525	48.1727299	0.629423917	-0.667896096	0.715675369	1
TK0048	106.3666667	188.9166667	345.7742424	90.16666667	2.7	109.1971051	130.8495377	87.5446726	0.669048391	-0.579817534	0.74356799	1
TK0049	110	130.25	386.4833333	37.83333333	0.5	98.00158423	135.7872561	60.21591237	0.44345776	-1.173131404	0.535058978	1
TK0050	162.25	299	755.7916667	144	13.33333333	169.2370969	199.9775953	138.4965985	0.692560575	-0.529987832	0.760010705	1
TK0051	31	61.5	214.25	45	2	33.49283792	38.26731762	28.71835821	0.750466978	-0.414139503	0.822654823	1
TK0052	40	76.47619048	806.75	69.33333333	6	42.2901664	49.37718403	35.20314877	0.712943629	-0.488140085	0.789201509	1
TK0053	139.2	169.7214286	2227.583333	125.6666667	15	125.1648	171.5857145	78.74388541	0.458918656	-1.12368964	0.548778711	1
TK0054	162	184.5	287.1666667	148.5	6.333333333	142.6031356	199.9775953	85.22867597	0.426191123	-1.23042755	0.513957213	1
TK0055	36.58333333	109.5	1368.166667	46.83333333	5	48.31291054	45.67389523	50.95192585	1.115559021	0.157766845	0.979549284	1
TK0056	26.75	59.95	387.6333333	41	1.5	30.56077939	33.32959922	27.79195956	0.833852198	-0.26213641	0.884256797	1
TK0057	126.3333333	160.3333333	109.0333333	31.5	7	114.8250109	155.5381297	74.11189215	0.47648697	-1.069491332	0.567846577	1
TK0058	45.66666667	88.03333333	787.8333333	66	4	48.77265116	56.78376164	40.76154068	0.717837979	-0.478269841	0.790782664	1
TK0059	31.5	49.5	1085.333333	30	4	31.33085676	39.50174722	23.1599663	0.586302326	-0.770283314	0.6893985	1
TK0060	52.25	107.6166667	446.5	76.2	11.125	57.10793322	64.19033924	50.0255272	0.779331092	-0.359691719	0.834959553	1
TK0061	2028.5	3342.416667	2987.026923	2245.910256	99.125	2025.717689	2503.42323	1548.012147	0.618358146	-0.693485422	0.693840588	1
TK0062	14	32.25757576	178.8333333	27	1	16.05219642	17.28201441	14.82237843	0.857676546	-0.221494425	0.919796878	1
TK0063	12	53.83333333	111.3333333	55	6	19.9129594	14.81315521	25.0127636	1.6885507	0.755785498	0.766083018	1
TK0064	1	11	101.8333333	4.333333333	0	3.164811093	1.234429601	5.095192585	4.127568378	2.045292115	0.614801567	1
TK0065	75.53333333	158.6833333	148.1666667	152.3333333	13.5	83.73267124	93.81664966	73.64869282	0.785027957	-0.349184061	0.835124109	1
TK0066	21	27	169.1666667	18	0.5	19.21470171	25.92302162	12.5063818	0.482443057	-1.051569424	0.607712603	1
TK0067	34	43.66666667	351.5666667	23.5	3.5	31.17568838	41.97060643	20.38077034	0.48559628	-1.042170726	0.594869875	1
TK0068	13.5	33.5	112.2	25.5	0.5	16.51539575	17.28201441	15.74877708	0.91128133	-0.134031584	0.953189584	1
TK0069	40.5	81.16666667	385.2	68.5	2	43.44816472	49.37718403	37.5191454	0.759847815	-0.396217595	0.824658051	1
TK0070	970	2121	7065.342857	2067	114	1089.921242	1197.396713	982.4457703	0.820484773	-0.285451535	0.852423226	1
TK0071	281	661	527.075	654	12	326.5247361	346.8747178	306.1747544	0.882666677	-0.180059362	0.896555366	1
TK0072	66.25	82.41666667	600.5944444	152.6111111	5.666666667	59.72734919	81.47235365	37.98234473	0.466199183	-1.100981618	0.563247174	1
TK0073	9	22.5	19.23333333	19.15	6.5	10.65012579	11.10986641	10.19038517	0.917237417	-0.124632886	0.976906336	1
TK0074	12	31.08333333	24.77777778	21	1	14.58616716	14.81315521	14.3591791	0.96935318	-0.044905694	0.993126693	1
TK0075	94	178	97.5	72.2	4.5	99.24293124	116.0363825	82.44948002	0.710548522	-0.492994924	0.777638297	1
TK0076	3.5	11.5	21.83333333	10.83333333	0	5.248055157	4.937718403	5.558391911	1.125700467	0.170822997	1	1
TK0077	0	0.5	1	1	0	0	0	0	NA	NA	NA	NA
TK0078	7.333333333	19.75	9	14	0	8.952496862	8.641007205	9.263986519	1.072095683	0.10043367	1	1
TK0079	2	1	6.771367521	0.076923077	0	1.466029264	2.468859202	0.463199326	0.187616744	-2.414139503	0.641597694	1
TK0080	4	3.433333333	8.50952381	5.333333333	3.333333333	3.16365819	4.937718403	1.389597978	0.281425117	-1.829177003	0.548155912	1
TK0081	5	18.80833333	9.811111111	15	0	7.486467598	6.172148004	8.800787193	1.425887258	0.511859915	0.917392597	1
TK0082	1	2	2	4.5	0	1.080414126	1.234429601	0.926398652	0.750466978	-0.414139503	1	1
TK0083	0	0.333333333	7.25	2.5	0	0	0	0	NA	NA	NA	NA
TK0084	0	1.5	2.25	0	0	0.463199326	0	0.926398652	Inf	Inf	1	1
TK0085	2	4.25	15.28333333	4	0	2.160828253	2.468859202	1.852797304	0.750466978	-0.414139503	1	1
TK0086	18	30.75757576	29	21	1	18.28945596	22.21973281	14.3591791	0.646235453	-0.629868194	0.759124964	1
TK0087	1.35	8.845454545	10.28831169	12.1	2.166666667	2.701611767	1.234429601	4.168793933	3.3771014	1.755785498	0.711689556	1
TK0088	3.85	15.30378788	19.14545455	6.711111111	0.166666667	5.942854146	4.937718403	6.947989889	1.407125583	0.492751092	0.94504194	1
TK0089	1.5	15.125	12.95	8.5	0	4.708424545	2.468859202	6.947989889	2.814251167	1.492751092	0.671162452	1
TK0090	25.75	48.75	141.3853535	38.16666667	3	27.3959683	32.09516962	22.69676697	0.707170806	-0.499869377	0.794330015	1
TK0091	19.625	41.25	40.83333333	27.33333333	0	21.83988219	24.68859202	18.99117236	0.769228652	-0.378515594	0.848163866	1
TK0092	1.625	2	2.5	2.5	0	1.697628927	2.468859202	0.926398652	0.375233489	-1.414139503	0.81155605	1
TK0093	4	7	42	8	0	4.090056842	4.937718403	3.242395282	0.656658606	-0.606784581	0.882581296	1
TK0094	51.5	121.3333333	835.25	111	13	60.11872884	64.19033924	56.04711844	0.873139465	-0.195715984	0.899705209	1
TK0095	0.333333333	0.5	1	1.75	0.5	0	0	0	NA	NA	NA	NA
TK0096	16.66666667	66.04285714	62.83333333	37.08888889	3.25	25.77822936	20.98530321	30.57115551	1.456788839	0.542791775	0.838990944	1
TK0097	0	0.642857143	2.5	0	0	0.231599663	0	0.463199326	Inf	Inf	1	1
TK0098	0	1	0.142857143	1	0	0.231599663	0	0.463199326	Inf	Inf	1	1
TK0099	2.75	2	2.5	1.833333333	0.5	2.314843727	3.703288802	0.926398652	0.250155659	-1.999102004	0.599012742	1
TK0100	1.833333333	4.333333333	2.333333333	0.333333333	0.833333333	2.160828253	2.468859202	1.852797304	0.750466978	-0.414139503	1	1
TK0101	0	0.666666667	2.666666667	0	0	0.231599663	0	0.463199326	Inf	Inf	1	1
TK0102	1.533333333	1.366666667	1.833333333	1.5	1.333333333	1.466029264	2.468859202	0.463199326	0.187616744	-2.414139503	0.615620739	1
TK0103	17	41	36.08333333	39	2	19.98823779	20.98530321	18.99117236	0.904974885	-0.14405034	0.942628962	1
TK0104	3	8.333333333	40.33333333	8	0	3.704441705	3.703288802	3.705594607	1.000622637	0.000897996	1	1
TK0105	29.25	66.66666667	180.9333333	55.95	3.5	33.41640663	35.79845842	31.03435484	0.86691875	-0.206031308	0.904730164	1
TKt01	51.24166667	116.8666667	60.62916667	69.79722222	29.79166667	58.57511539	62.95590964	54.19432113	0.860829769	-0.216200126	0.891767602	1
TK0106	32.4	223.3095238	145.5952381	68.14285714	3.5	71.39759845	39.50174722	103.2934497	2.614908376	1.386760397	0.507894258	1
TK0107	125	406.2916667	243.7	223.5	7	171.1813132	154.3037001	188.0589263	1.218758372	0.285412129	0.917717438	1
TK0108	166625.3333	76986.83333	20325.56667	79666.5	4561	120673.5794	205686.8322	35660.32651	0.173371947	-2.52805762	0.198115428	1
TK0109	41	60.75	589.9916667	39.25	3	39.43338626	50.61161363	28.25515888	0.558274215	-0.84095417	0.659412151	1
TK0110	230	752.1666667	805.5333333	441.3333333	21	316.1223506	283.9188082	348.3258931	1.226850364	0.294959297	0.911841203	1
TK0111	208	684.5	1200.5	415	16.5	286.794848	256.761357	316.8283389	1.233940896	0.303273293	0.908637388	1
TK0112	135.3333333	591.8333333	4611.116667	337.5888889	12.5	220.4309985	166.6479961	274.214001	1.645468337	0.718498265	0.740887048	1
TK0113	20	124.1428571	255.8333333	87	4	41.06265422	24.68859202	57.43671642	2.326447631	1.218128712	0.575454084	1
TK0114	0	5.5	37.5	10	0	1.389597978	0	2.779195956	Inf	Inf	0.572648575	1
TK0115	41	55.33333333	58.8	65.33333333	1.5	38.04378828	50.61161363	25.47596293	0.503361997	-0.990331794	0.608708675	1
TK0116	128.8333333	787.0833333	2127.359524	848.3333333	28.5	261.889644	159.2414185	364.5378695	2.289215161	1.194853067	0.560936915	1
TK0117	24	98.39285714	1311.60119	124	5	37.50992218	29.62631042	45.39353394	1.532203413	0.61560784	0.800141727	1
TK0118	77	146.5	252.8333333	120	3	81.33909042	95.05107926	67.62710159	0.71148168	-0.491101485	0.779955026	1
TK0119	24.5	18.72619048	47.18611111	15	2.75	19.21354881	29.62631042	8.800787193	0.297059845	-1.751174491	0.400164765	1
TK0120	13.125	13.5	38.75	9.833333333	1	11.26618769	16.04758481	6.484790563	0.404097603	-1.307224299	0.553682857	1
TK0121	2.125	4.25	12.41666667	2.916666667	0	2.160828253	2.468859202	1.852797304	0.750466978	-0.414139503	1	1
TK0122	65.5	54.84285714	110.0289683	44.25	4	53.47415829	81.47235365	25.47596293	0.312694574	-1.677173909	0.393885974	1
TK0123	514.5833333	1964.166667	2434.116667	755.75	36.25	772.7273603	635.7312444	909.7234761	1.430987519	0.517011089	0.819170798	1
TK0124	738.5	1343.25	2051.5	1988	27	766.5428701	911.0090454	622.0766947	0.682843598	-0.55037292	0.748576611	1
TK0125	103.1666667	215.6666667	497.5833333	120.95	9.333333333	113.5986516	127.1462489	100.0510544	0.786897414	-0.345752528	0.834207561	1
TK0126	934.5	2722.833333	2526.866667	1496	94	1207.124506	1152.957247	1261.291765	1.093962302	0.129563024	0.978705749	1
TK0127	61	125	276.5	78	1.5	66.60006069	75.30020565	57.89991574	0.768921084	-0.379092556	0.825673913	1
TK0128	49.5	108.5	1099	63.5	2.5	55.87350362	61.72148004	50.0255272	0.810504336	-0.303108191	0.857615071	1
TK0129	95.33333333	244.3333333	769.25	166.1666667	8.2	115.1457238	117.2708121	113.0206355	0.963757593	-0.053257774	0.95215944	1
TK0130	358.2	673.5333333	1298.600433	802	13	377.0610714	441.9257971	312.1963457	0.706445172	-0.501350499	0.768532776	1
TK0131	54.5	168.6166667	805.2083333	136.0088235	6	72.46994226	66.65919844	78.28068608	1.174341845	0.231852431	0.945028336	1
TK0132	405	984.3333333	1200.266667	436.5	4	477.8660625	499.9439883	455.7881367	0.911678403	-0.133403096	0.914863264	1
