"locus"	"Half-life"	"RPKM"
BCE_0244	NA	NA
BCE_0245	NA	NA
BCE_0246	NA	NA
BCE_0247	4.5	9
BCE_0248	2.4	24
BCE_0249	2.3	18
BCE_0250	2.6	19
BCE_0251	3.5	33
BCE_0252	3.7	24
BCE_0253	3.8	144
BCE_0254	NA	NA
BCE_0255	NA	NA
BCE_0256	NA	NA
BCE_0257	NA	NA
BCE_0258	NA	17
BCE_0259	NA	11
BCE_0260	NA	NA
BCE_0261	NA	NA
BCE_0262	1.8	11
BCE_0263	NA	NA
BCE_0264	3.2	9
BCE_0265	1.9	217
BCE_0266	2.0	152
BCE_0267	1.6	1884
BCE_0268	1.1	7
BCE_0269	1.1	7
BCE_0270	2.3	18
BCE_0271	3.0	23
BCE_0272	2.7	14
BCE_0273	6.7	833
BCE_0274	4.9	446
BCE_0275	3.2	95
BCE_0276	NA	NA
BCE_0277	NA	NA
BCE_0278	NA	NA
BCE_0279	NA	42
BCE_0280	2.2	109
BCE_0281	2.5	88
BCE_0282	2.7	207
BCE_0283	NA	8
BCE_0284	2.2	71
BCE_0285	2.2	145
BCE_0286	NA	70
BCE_0287	2.3	55
BCE_0288	NA	942
BCE_0289	12.1	990
BCE_0290	NA	559
BCE_0291	3.9	257
BCE_0292	3.3	25
BCE_0293	NA	NA
BCE_0294	NA	15
BCE_0295	1.8	11
BCE_0296	NA	228
BCE_0297	NA	100
BCE_0298	NA	NA
BCE_0299	NA	NA
BCE_0300	NA	8
BCE_0301	NA	NA
BCE_0302	NA	NA
BCE_0303	NA	NA
BCE_0304	NA	NA
BCE_0305	NA	NA
BCE_0306	NA	NA
BCE_0307	NA	194
BCE_0308	1.9	11
BCE_0309	0.9	19
BCE_0310	NA	NA
BCE_0311	NA	17
BCE_0312	NA	NA
BCE_0313	2.4	8
BCE_0314	1.2	17
BCE_0315	NA	NA
BCE_0316	NA	59
BCE_0317	2.7	41
BCE_0318	NA	90
BCE_0319	6.9	172
BCE_0320	NA	NA
BCE_0321	2.7	9
BCE_0322	2.9	11
BCE_0323	2.7	10
BCE_0324	3.0	11
BCE_0325	NA	NA
BCE_0326	3.1	7
BCE_0327	3.1	17
BCE_0328	3.5	18
BCE_0329	5.1	170
BCE_0330	5.3	81
BCE_0331	2.2	11
BCE_0332	NA	7
BCE_0333	1.6	137
BCE_0334	1.5	142
BCE_0335	1.8	207
BCE_0336	1.9	152
BCE_0337	3.2	75
BCE_0338	7.6	142
BCE_0339	3.4	27
BCE_0340	NA	NA
BCE_0341	NA	NA
BCE_0342	NA	NA
BCE_0343	NA	NA
BCE_0344	NA	NA
BCE_0345	NA	NA
BCE_0346	3.2	6
BCE_0347	3.4	72
BCE_0348	NA	15
BCE_0349	3.5	770
BCE_0350	4.2	670
BCE_0351	4.3	472
BCE_0352	1.6	123
BCE_0353	4.1	14
BCE_0354	NA	NA
BCE_0355	NA	NA
BCE_0356	4.0	8
BCE_0357	2.7	20
BCE_0358	NA	6
BCE_0359	5.4	26
BCE_0360	1.9	77
BCE_0361	NA	NA
BCE_0362	1.7	56
BCE_0363	1.4	117
BCE_0364	2.8	997
BCE_0365	2.8	787
BCE_0366	5.0	100
BCE_0367	3.4	128
BCE_0368	3.0	123
BCE_0369	2.7	91
BCE_0370	1.5	83
BCE_0371	1.7	44
BCE_0372	NA	NA
BCE_0373	NA	NA
BCE_0374	NA	NA
BCE_0375	NA	NA
BCE_0376	NA	NA
BCE_0377	NA	NA
BCE_0378	2.5	68
BCE_0379	NA	77
BCE_0380	2.2	116
BCE_0381	1.8	104
BCE_0382	NA	NA
BCE_0383	NA	NA
BCE_0384	NA	NA
BCE_0385	NA	NA
BCE_0386	NA	NA
BCE_0387	NA	NA
BCE_0388	NA	NA
BCE_0389	NA	NA
BCE_0390	NA	NA
BCE_0391	NA	NA
BCE_0392	NA	NA
BCE_0393	NA	NA
BCE_0394	NA	NA
BCE_0395	NA	NA
BCE_0396	NA	NA
BCE_0397	NA	NA
BCE_0398	NA	NA
BCE_0399	NA	NA
BCE_0400	NA	NA
BCE_0401	NA	NA
BCE_0402	NA	NA
BCE_0403	NA	NA
BCE_0404	NA	NA
BCE_0405	NA	NA
BCE_0406	NA	NA
BCE_0407	NA	NA
BCE_0408	NA	NA
BCE_0409	NA	NA
BCE_0410	NA	NA
BCE_0411	NA	NA
BCE_0412	NA	NA
BCE_0413	NA	NA
BCE_0414	NA	NA
BCE_0415	NA	NA
BCE_0416	NA	NA
BCE_0417	NA	NA
BCE_0418	2.7	NA
BCE_0419	NA	NA
BCE_0420	5.6	28
BCE_0421	3.8	19
BCE_0422	4.8	68
BCE_0423	3.7	83
BCE_0424	4.6	110
BCE_0425	3.1	112
BCE_0426	4.0	106
BCE_0427	3.6	62
BCE_0428	NA	18
BCE_0429	NA	52
BCE_0430	1.3	69
BCE_0431	NA	7
BCE_0432	2.9	13
BCE_0433	1.9	7
BCE_0434	1.4	8
BCE_0435	1.2	6
BCE_0436	2.9	14
BCE_0437	2.0	11
BCE_0438	2.0	17
BCE_0439	9.3	1167
BCE_0440	7.7	1475
BCE_0441	NA	98
BCE_0442	2.5	46
BCE_0443	1.5	142
BCE_0444	2.6	75
BCE_0445	NA	103
BCE_0446	3.0	76
BCE_0447	2.8	86
BCE_0448	3.3	92
BCE_0449	1.7	81
BCE_0450	1.5	41
BCE_0451	1.4	168
BCE_0452	2.1	57
BCE_0453	NA	15
BCE_0454	NA	67
BCE_0455	NA	19
BCE_0456	NA	NA
BCE_0457	3.1	6
BCE_0458	2.7	6
BCE_0459	NA	NA
BCE_0460	NA	56
BCE_0461	NA	NA
BCE_0462	NA	NA
BCE_0463	NA	19
BCE_0464	NA	NA
BCE_0465	NA	NA
BCE_0466	2.3	268
BCE_0467	NA	NA
BCE_0468	NA	NA
BCE_0469	NA	NA
BCE_0470	1.7	95
BCE_0471	NA	NA
BCE_0472	NA	NA
BCE_0473	NA	NA
BCE_0474	NA	NA
BCE_0475	NA	NA
BCE_0476	NA	NA
BCE_0477	1.1	47
BCE_0478	NA	7
BCE_0479	NA	NA
BCE_0480	NA	NA
BCE_0481	NA	NA
BCE_0482	1.9	13
BCE_0483	1.8	11
BCE_0484	1.6	74
BCE_0485	1.4	60
BCE_0486	1.3	6
BCE_0487	NA	13
BCE_0488	1.9	49
BCE_0489	NA	20
BCE_0490	3.7	102
BCE_0491	3.1	86
BCE_0492	2.3	73
BCE_0493	2.1	69
BCE_0494	NA	10
BCE_0495	NA	NA
BCE_0496	1.3	2044
BCE_0497	NA	NA
BCE_0498	NA	NA
BCE_0499	NA	7
BCE_0500	NA	24
BCE_0501	NA	38
BCE_0502	NA	NA
BCE_0503	2.0	64
BCE_0504	NA	NA
BCE_0505	NA	16
BCE_0506	0.8	26
BCE_0507	NA	11
BCE_0508	NA	NA
BCE_0509	NA	NA
BCE_0510	3.7	11
BCE_0511	NA	NA
BCE_0512	2.3	5
BCE_0513	2.5	250
BCE_0514	2.9	177
BCE_0515	2.9	309
BCE_0516	2.4	91
BCE_0517	2.9	53
BCE_0518	NA*	100
BCE_0519	NA	NA
BCE_0520	4.1	92
BCE_0521	4.2	119
BCE_0522	3.1	94
BCE_0523	3.8	76
BCE_0524	3.4	8
BCE_0525	0.9	9
BCE_0526	1.2	9
BCE_0527	2.3	621
BCE_0528	NA	NA
BCE_0529	1.3	53
BCE_0530	1.6	31
BCE_0531	4.0	27
BCE_0532	NA	NA
BCE_0533	NA	NA
BCE_0534	NA	NA
BCE_0535	NA	NA
BCE_0536	NA	NA
BCE_0537	1.4	120
BCE_0538	NA	95
BCE_0539	7.7	213
BCE_0540	NA	8
BCE_0541	1.7	60
BCE_0542	1.9	127
BCE_0543	2.3	58
BCE_0544	2.2	130
BCE_0545	NA	NA
BCE_0546	NA	NA
BCE_0547	NA	NA
BCE_0548	NA	NA
BCE_0549	NA	NA
BCE_0550	NA	NA
BCE_0551	NA	NA
BCE_0552	2.4	19
BCE_0553	3.3	75
BCE_0554	2.5	40
BCE_0555	NA	36
BCE_0556	2.4	27
BCE_0557	NA	NA
BCE_0558	NA	NA
BCE_0559	NA	NA
BCE_0560	NA	NA
BCE_0561	NA	NA
BCE_0562	NA	NA
BCE_0563	6.3	26
BCE_0564	NA	31
BCE_0565	0.8	138
BCE_0566	NA	7
BCE_0567	NA	80
BCE_0568	NA	10
BCE_0569	1.9	6
BCE_0570	2.0	22
BCE_0571	2.1	74
BCE_0572	2.3	129
BCE_0573	4.0	96
BCE_0574	3.5	156
BCE_0575	2.7	205
BCE_0576	3.3	37
BCE_0577	2.1	22
BCE_0578	2.4	11
BCE_0579	4.7	14
BCE_0580	NA	NA
BCE_0581	NA	NA
BCE_0582	3.0	131
BCE_0583	1.9	14
BCE_0584	NA	30
BCE_0585	NA	NA
BCE_0586	6.4	181
BCE_0587	2.8	22
BCE_0588	1.9	22
BCE_0589	2.2	33
BCE_0590	3.1	38
BCE_0591	4.7	121
BCE_0592	2.0	388
BCE_0593	2.5	8
BCE_0594	NA	300
BCE_0595	4.0	423
BCE_0596	3.0	37
BCE_0597	1.8	13
BCE_0598	1.3	134
BCE_0599	NA	21
BCE_0600	1.3	32
BCE_0601	NA	29
BCE_0602	4.4	390
BCE_0603	2.0	19
BCE_0604	NA	17
BCE_0605	NA	NA
BCE_0606	NA	NA
BCE_0607	1.6	38
BCE_0608	NA	NA
BCE_0609	NA	NA
BCE_0610	3.4	6
BCE_0611	1.7	6
BCE_0612	NA	NA
BCE_0613	NA	NA
BCE_0614	NA	NA
BCE_0615	NA	NA
BCE_0616	4.6	789
BCE_0617	6.9	125
BCE_0618	7.9	139
BCE_0619	3.0	136
BCE_0620	NA	NA
BCE_0621	NA	NA
BCE_0622	NA	NA
BCE_0623	1.6	57
BCE_0624	1.7	184
BCE_0625	1.7	88
BCE_0626	1.6	53
BCE_0627	NA	NA
BCE_0628	NA	NA
BCE_0629	NA	NA
BCE_0630	NA	NA
BCE_0631	NA	NA
BCE_0632	NA	NA
BCE_0633	NA	NA
BCE_0634	NA	NA
BCE_0635	NA	8
BCE_0636	NA	NA
BCE_0637	NA	NA
BCE_0638	11.9	87
BCE_0639	NA	30
BCE_0640	NA	32
BCE_0641	2.3	60
BCE_0642	2.7	39
BCE_0643	NA	NA
BCE_0644	NA	NA
BCE_0645	NA	NA
BCE_0646	1.4	17
BCE_0647	5.7	272
BCE_0648	NA	35
BCE_0649	2.1	33
BCE_0650	0.8	19
BCE_0651	NA	NA
BCE_0652	NA	NA
BCE_0653	1.1	21
BCE_0654	1.8	13
BCE_0655	3.5	140
BCE_0656	3.1	71
BCE_0657	1.1	29
BCE_0658	1.1	54
BCE_0659	3.7	2615
BCE_0660	3.0	941
BCE_0661	NA	7
BCE_0662	1.5	95
BCE_0663	2.1	95
BCE_0664	4.3	13
BCE_0665	3.7	38
BCE_0666	NA	47
BCE_0667	NA	NA
BCE_0668	2.1	16
BCE_0669	NA	NA
BCE_0670	4.2	111
BCE_0671	3.9	226
BCE_0672	NA	7
BCE_0673	NA	70
BCE_0674	NA	8
BCE_0675	2.8	22
BCE_0676	2.9	28
BCE_0677	2.7	328
BCE_0678	1.7	12
BCE_0679	NA	35
BCE_0680	0.9	23
BCE_0681	NA	NA
BCE_0682	1.6	190
BCE_0683	3.1	289
BCE_0684	1.4	93
BCE_0685	2.0	115
BCE_0686	1.8	226
BCE_0687	1.8	25
BCE_0688	4.3	734
BCE_0689	5.8	589
BCE_0690	NA	43
BCE_0691	5.5	63
BCE_0692	1.9	108
BCE_0693	1.3	83
BCE_0694	NA	NA
BCE_0695	NA	NA
BCE_0696	NA	26
BCE_0697	NA	14
BCE_0698	NA	20
BCE_0699	NA	NA
BCE_0700	15.0	9
BCE_0701	NA	NA
BCE_0702	NA	NA
BCE_0703	NA	NA
BCE_0704	NA	NA
BCE_0705	NA	NA
BCE_0706	NA	NA
BCE_0707	NA	NA
BCE_0708	NA	NA
BCE_0709	NA	NA
BCE_0710	NA	NA
BCE_0711	NA	NA
BCE_0712	1.8	26
BCE_0713	2.7	6
BCE_0714	1.8	14
BCE_0715	1.8	15
BCE_0716	2.0	12
BCE_0717	NA	38
BCE_0718	NA	NA
BCE_0719	NA	5
BCE_0720	2.6	9
BCE_0721	NA	24
BCE_0722	1.8	25
BCE_0723	NA	NA
BCE_0724	NA	NA
BCE_0725	NA	NA
BCE_0726	NA	NA
BCE_0727	NA	NA
BCE_0728	NA	NA
BCE_0729	4.5	218
